Sesi_Eksperimen,Cycle,pH_St,EC_St,Action,pH_St1,EC_St1,Delta_pH,Delta_EC,Timestamp
Eksplorasi_Sesi_1,1,7.88,0.0,6,7.5,16.18,-0.38,16.18,2026-04-16 03:53:06
Eksplorasi_Sesi_1,2,7.5,15.75,6,7.28,164.45,-0.22,148.7,2026-04-16 03:58:13
Eksplorasi_Sesi_1,3,7.27,161.58,8,7.28,192.45,0.01,30.87,2026-04-16 04:03:29
Eksplorasi_Sesi_1,4,7.29,191.18,4,6.27,216.83,-1.02,25.65,2026-04-16 04:08:34
Eksplorasi_Sesi_1,5,6.26,215.82,3,6.07,212.0,-0.19,-3.82,2026-04-16 04:13:37
Eksplorasi_Sesi_1,6,6.04,212.91,8,6.05,238.09,0.01,25.18,2026-04-16 04:18:52
Eksplorasi_Sesi_1,7,6.05,239.08,4,5.38,235.18,-0.67,-3.9,2026-04-16 04:23:58
Eksplorasi_Sesi_1,8,5.36,240.0,1,5.71,263.55,0.35,23.55,2026-04-16 04:29:00
Eksplorasi_Sesi_1,9,5.7,278.27,2,6.26,310.5,0.56,32.23,2026-04-16 04:34:06
Eksplorasi_Sesi_1,10,6.26,309.55,8,6.26,338.55,0.0,29.0,2026-04-16 04:39:21
Eksplorasi_Sesi_1,11,6.28,339.45,2,6.67,372.0,0.39,32.55,2026-04-16 04:44:27
Eksplorasi_Sesi_1,12,6.68,389.18,8,6.67,387.82,-0.01,-1.36,2026-04-16 04:49:42
Eksplorasi_Sesi_1,13,6.67,388.58,6,6.61,514.82,-0.06,126.24,2026-04-16 04:54:49
Eksplorasi_Sesi_1,14,6.62,513.0,4,6.23,512.25,-0.39,-0.75,2026-04-16 04:59:54
Eksplorasi_Sesi_1,15,6.21,513.09,8,6.19,511.09,-0.02,-2.0,2026-04-16 05:05:10
Eksplorasi_Sesi_1,16,6.22,512.67,1,6.38,512.09,0.16,-0.58,2026-04-16 05:10:13
Eksplorasi_Sesi_1,17,6.38,514.0,1,6.52,537.18,0.14,23.18,2026-04-16 05:15:15
Eksplorasi_Sesi_1,18,6.51,538.42,5,6.5,628.5,-0.01,90.08,2026-04-16 05:20:18
Eksplorasi_Sesi_1,19,6.49,642.36,7,6.48,712.18,-0.01,69.82,2026-04-16 05:25:23
Eksplorasi_Sesi_1,20,6.48,736.45,5,6.47,785.73,-0.01,49.28,2026-04-16 05:30:26
Eksplorasi_Sesi_1,21,6.47,798.08,1,6.59,811.91,0.12,13.83,2026-04-16 05:35:28
Eksplorasi_Sesi_1,22,6.59,811.92,1,6.72,836.55,0.13,24.63,2026-04-16 05:40:31
Eksplorasi_Sesi_1,23,6.71,836.75,2,6.88,865.18,0.17,28.43,2026-04-16 05:45:36
Eksplorasi_Sesi_1,24,6.87,866.09,7,6.88,867.25,0.01,1.16,2026-04-16 05:50:42
Eksplorasi_Sesi_1,25,6.88,866.27,4,6.67,892.73,-0.21,26.46,2026-04-16 05:55:47
Eksplorasi_Sesi_1,26,6.66,894.5,2,6.8,914.73,0.14,20.23,2026-04-16 06:00:53
Eksplorasi_Sesi_1,27,6.8,916.18,4,6.59,943.42,-0.21,27.24,2026-04-16 06:05:58
Eksplorasi_Sesi_1,28,6.57,940.0,3,6.42,966.17,-0.15,26.17,2026-04-16 06:11:01
Eksplorasi_Sesi_1,29,6.42,962.0,2,6.61,995.27,0.19,33.27,2026-04-16 06:16:06
Eksplorasi_Sesi_1,30,6.58,994.08,7,6.51,990.73,-0.07,-3.35,2026-04-16 06:21:12
Eksplorasi_Sesi_1,31,6.49,991.36,6,6.35,1218.64,-0.14,227.28,2026-04-16 06:26:18
Eksplorasi_Sesi_1,32,6.34,1247.55,5,6.31,1320.55,-0.03,73.0,2026-04-16 06:31:21
Eksplorasi_Sesi_1,33,6.31,1325.82,7,6.3,1348.0,-0.01,22.18,2026-04-16 06:36:27
Eksplorasi_Sesi_1,34,6.31,1351.36,3,6.23,1374.08,-0.08,22.72,2026-04-16 06:41:29
Eksplorasi_Sesi_1,35,6.21,1375.36,1,6.28,1398.33,0.07,22.97,2026-04-16 06:46:32
Eksplorasi_Sesi_1,36,6.28,1399.91,5,6.25,1448.08,-0.03,48.17,2026-04-16 06:51:34
Eksplorasi_Sesi_1,37,6.26,1445.91,4,6.06,1446.45,-0.2,0.54,2026-04-16 06:56:40
Eksplorasi_Sesi_1,38,6.06,1446.75,6,6.01,1553.09,-0.05,106.34,2026-04-16 07:01:46
Eksplorasi_Sesi_1,39,6.01,1551.25,7,6.01,1547.55,0.0,-3.7,2026-04-16 07:06:52
Eksplorasi_Sesi_1,40,6.01,1552.09,8,6.01,1550.64,0.0,-1.45,2026-04-16 07:12:07
Eksplorasi_Sesi_1,41,6.0,1551.5,4,5.8,1545.0,-0.2,-6.5,2026-04-16 07:17:13
Eksplorasi_Sesi_1,42,5.77,1548.45,2,6.01,1570.42,0.24,21.97,2026-04-16 07:22:18
Eksplorasi_Sesi_1,43,6.0,1570.55,5,5.98,1660.0,-0.02,89.45,2026-04-16 07:27:21
Eksplorasi_Sesi_1,44,5.98,1671.64,1,6.03,1743.55,0.05,71.91,2026-04-16 07:32:23
Eksplorasi_Sesi_1,45,6.04,1755.82,5,5.99,1881.55,-0.05,125.73,2026-04-16 07:37:26
